geo_point_2d;geo_shape;schulstand;schultyp;name;vorname_k;nachname_k;funktion;strasse;hausnummer;plz;ortschaft;telefon;fax;link;email;pdf_report;geometrie
47.56430055698658, 7.612617228068581;"{""coordinates"": [7.612617228068581, 47.56430055698658], ""type"": ""Point""}";Hirzbrunnen;Kindergarten;Eugen Wullschleger-Str. 32;;;Kindergarten;Eugen Wullschleger-Str.;32;4058;Basel;+41 61 681 98 15;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2613094.289000/1268191.207000
47.56849238971936, 7.610350214700132;"{""coordinates"": [7.610350214700132, 47.56849238971936], ""type"": ""Point""}";Schoren;Kindergarten;Laufenburgerstrasse 5;;;Kindergarten;Laufenburgerstrasse;5;4058;Basel;+41 61 681 38 33;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2612922.667000/1268656.918000
47.56319123185764, 7.615237233417858;"{""coordinates"": [7.615237233417858, 47.56319123185764], ""type"": ""Point""}";Hirzbrunnen;Kindergarten;Magdenstrasse 19;;;Kindergarten;Magdenstrasse;19;4058;Basel;+41 61 601 44 05;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2613291.737000/1268068.301000
47.56405902265278, 7.6208556711524365;"{""coordinates"": [7.620855671152436, 47.56405902265278], ""type"": ""Point""}";Hirzbrunnen;Kindergarten;Wittlingerstrasse 176;;;Kindergarten;Wittlingerstrasse;176;4058;Basel;+41 61 601 43 14;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2613714.345000/1268165.752000
47.578889113026214, 7.59140868615305;"{""coordinates"": [7.59140868615305, 47.578889113026214], ""type"": ""Point""}";Insel;Kindergarten;Kleinhüningerstrasse 152;;;Kindergarten;Kleinhüningerstrasse;152;4057;Basel;+41 61 631 05 34;;;;;2611495.073000/1269809.989000
47.56468530701154, 7.574458369268219;"{""coordinates"": [7.574458369268219, 47.56468530701154], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Mittlere Strasse 153;;;Kindergarten;Mittlere Strasse;153;4056;Basel;+41 61 321 58 17;;;;;2610222.523000/1268228.348000
47.543793238582296, 7.586590993785697;"{""coordinates"": [7.586590993785697, 47.543793238582296], ""type"": ""Point""}";Margarethen;Kindergarten;Gempenstrasse 43;;;Kindergarten;Gempenstrasse;43;4053;Basel;+41 61 361 47 39;;;;;2611139.928000/1265907.033000
47.54445060271451, 7.578983922117392;"{""coordinates"": [7.578983922117392, 47.54445060271451], ""type"": ""Point""}";Margarethen;Kindergarten;Höhenweg 85;;;Kindergarten;Höhenweg;85;4053;Basel;+41 61 272 26 60;;;;;2610567.097000/1265979.078000
47.546754632209804, 7.573662397912356;"{""coordinates"": [7.573662397912356, 47.546754632209804], ""type"": ""Point""}";Neubad;Kindergarten;Bernerring 19;;;Kindergarten;Bernerring;19;4054;Basel;+41 61 281 34 22;;;;;2610166.031000/1266234.560000
47.54881220264787, 7.5607125394807255;"{""coordinates"": [7.560712539480726, 47.54881220264787], ""type"": ""Point""}";Neubad;Kindergarten;General Guisan Strasse 180;;;Kindergarten;General Guisan Strasse;180;4054;Basel;+41 61 301 77 37;;;;;2609190.797000/1266461.751000
47.56855072357488, 7.578217205422659;"{""coordinates"": [7.578217205422659, 47.56855072357488], ""type"": ""Point""}";Volta;Kindergarten;Ryffstrasse 22;;;Kindergarten;Ryffstrasse;22;4056;Basel;+41 61 321 06 45;;;;;2610504.637000/1268658.633000
47.560675982558706, 7.596639807829067;"{""coordinates"": [7.596639807829067, 47.560675982558706], ""type"": ""Point""}";Theodor;Kindergarten;Claragraben 40;;;Kindergarten;Claragraben;40;4058;Basel;+41 61 208 56 40;;;;;2611892.696000/1267785.664000
47.55861119569645, 7.604171680165262;"{""coordinates"": [7.604171680165262, 47.55861119569645], ""type"": ""Point""}";Theodor;Kindergarten;Grenzacherstrasse 106;;;Kindergarten;Grenzacherstrasse;106;4058;Basel;+41 61 691 29 18;;;;;2612460.037000/1267557.246000
47.541859634170066, 7.5956789519109975;"{""coordinates"": [7.595678951910998, 47.541859634170066], ""type"": ""Point""}";Thierstein;Kindergarten;Bärschwilerstrasse 11;;;Kindergarten;Bärschwilerstrasse;11;4053;Basel;+41 61 208 51 86;;;;;2611824.546000/1265693.362000
47.544391278253116, 7.588534430925156;"{""coordinates"": [7.588534430925156, 47.544391278253116], ""type"": ""Point""}";Thierstein;Kindergarten;Sempacherstrasse 15;;;Kindergarten;Sempacherstrasse;15;4053;Basel;+41 61 361 60 61;;;;;2611286.114000/1265973.804000
47.558067803639254, 7.60212717475357;"{""coordinates"": [7.60212717475357, 47.558067803639254], ""type"": ""Point""}";Vogelsang;Kindergarten;Fischerweg 8;;;Kindergarten;Fischerweg;8;4058;Basel;+41 61 691 05 51;;;;;2612306.284000/1267496.506000
47.56216380613679, 7.608846882582406;"{""coordinates"": [7.608846882582406, 47.56216380613679], ""type"": ""Point""}";Vogelsang;Kindergarten;Wettsteinallee 153;;;Kindergarten;Wettsteinallee;153;4058;Basel;+41 61 681 71 29;;;;;2612811.060000/1267953.005000
47.56786095013292, 7.574547914873107;"{""coordinates"": [7.574547914873107, 47.56786095013292], ""type"": ""Point""}";Volta;Kindergarten;Im Davidsboden 6;;;Kindergarten;Im Davidsboden;6;4056;Basel;+41 61 321 02 09;;;;;2610228.654000/1268581.456000
47.569308558791896, 7.580668395240691;"{""coordinates"": [7.580668395240691, 47.569308558791896], ""type"": ""Point""}";Volta;Kindergarten;Mülhauserstrasse 38;;;Kindergarten;Mülhauserstrasse;38;4056;Basel;+41 61 321 16 80;;;;;2610688.938000/1268743.225000
47.564667639968825, 7.557099682398535;"{""coordinates"": [7.557099682398535, 47.564667639968825], ""type"": ""Point""}";Wasgenring;Kindergarten;Belforterstrasse 126a;;;Kindergarten;Belforterstrasse;126a;4055;Basel;+41 61 382 86 50;;;;;2608916.185000/1268224.281000
47.56734772148294, 7.56381014575971;"{""coordinates"": [7.56381014575971, 47.56734772148294], ""type"": ""Point""}";Wasgenring;Kindergarten;Burgfelderstrasse 206;;;Kindergarten;Burgfelderstrasse;206;4055;Basel;+41 61 322 05 40;;;;;2609420.714000/1268523.055000
47.56221363362318, 7.562559555661828;"{""coordinates"": [7.562559555661828, 47.56221363362318], ""type"": ""Point""}";Wasgenring;Kindergarten;Welschmattstrasse 30;;;Kindergarten;Welschmattstrasse;30;4055;Basel;+41 61 385 50 60;;;;;2609327.500000/1267952.053000
47.56171784641502, 7.598332276930456;"{""coordinates"": [7.598332276930456, 47.56171784641502], ""type"": ""Point""}";Theodor;Kindergarten;Riehenstrasse 43;;;Kindergarten;Riehenstrasse;43;4058;Basel;;;;;;2612019.839000/1267901.764000
47.568836192824556, 7.600349565613853;"{""coordinates"": [7.600349565613853, 47.568836192824556], ""type"": ""Point""}";Erlenmatt;Kindergarten;Erlenmattstrasse 6;;;Kindergarten;Erlenmattstrasse;6;4058;Basel;;;;;;2612170.037000/1268693.554000
47.562117328570444, 7.578668048499991;"{""coordinates"": [7.578668048499991, 47.562117328570444], ""type"": ""Point""}";St. Johann;Kindergarten;Hebelstrasse 77;;;Kindergarten;Hebelstrasse;77;4056;Basel;+41 61 261 04 96;;;;;2610539.832000/1267943.371000
47.53231983307815, 7.5988342131672795;"{""coordinates"": [7.598834213167279, 47.53231983307815], ""type"": ""Point""}";Bruderholz;Tagesstruktur;TS Bruderholz;Steven;Roth;Leiter Tagesstruktur;Jakobsbergholzweg;121;4059;Basel;+41 79 560 34 73;+41 61 361 95 05;;ts_bruderholz@robi-spiel-aktionen.ch;;2612064.254000/1264633.131000
47.539460073891085, 7.592415990369999;"{""coordinates"": [7.592415990369999, 47.539460073891085], ""type"": ""Point""}";Brunnmatt;Tagesstruktur;TS Brunnmatt;;;Tagesstruktur;Ingelsteinweg;6;4053;Basel;+41 61 208 50 24;;;;;2611579.404000/1265426.076000
47.572100808734255, 7.592684055205632;"{""coordinates"": [7.592684055205632, 47.572100808734255], ""type"": ""Point""}";Dreirosen;Tagesstruktur;TS Horburg;;;Leitung Tagesstruktur;Müllheimerstrasse;180;4057;Basel;+41 61 691 00 13;;;mariken.huber@bs.ch;;2611592.500000/1269055.389000
47.562020649519724, 7.560979401593363;"{""coordinates"": [7.560979401593363, 47.562020649519724], ""type"": ""Point""}";Wasgenring;Tagesstruktur;TS Wasgenring;;;Leitung Tagesstruktur;Welschmattstrasse;30;4055;Basel;+41 61 322 00 85;;;;;2609208.612000/1267930.410000
47.55516604621018, 7.56695221164485;"{""coordinates"": [7.56695221164485, 47.55516604621018], ""type"": ""Point""}";Gotthelf;Tagesstruktur;TS Gotthelf;;;Leitung Tagesstruktur;St. Galler-Ring;130;4054;Basel;+41 61 301 35 25;;;ts_gotthelf@robi-spiel-aktionen.ch;;2609659.361000/1267168.969000
47.55953202414036, 7.58769040772374;"{""coordinates"": [7.58769040772374, 47.55953202414036], ""type"": ""Point""}";Peter;Tagesstruktur;TS Peters;;;Leitung Tagesstruktur;Marktgasse;5;4051;Basel;+41 79 649 78 89;;;christoph.renz@bs.ch;;2611219.392000/1267657.158000
47.54177986547423, 7.59562767350133;"{""coordinates"": [7.59562767350133, 47.54177986547423], ""type"": ""Point""}";Thierstein;Tagesstruktur;TS Thierstein;;;Leitung Tagesstruktur;Bärschwilerstrasse;11;4053;Basel;+41 61 208 51 83;;;stephan.stocker@bs.ch;;2611820.703000/1265684.485000
47.577955697659085, 7.588483233075412;"{""coordinates"": [7.588483233075412, 47.577955697659085], ""type"": ""Point""}";Insel;Tagesstruktur;TS Insel;;;Leitung Tagesstruktur;Inselstrasse;41;4057;Basel;+41 61 208 53 03;;;marie-therese.scherer@bs.ch;;2611275.172000/1269705.781000
47.56736959948538, 7.626837679446458;"{""coordinates"": [7.626837679446458, 47.56736959948538], ""type"": ""Point""}";Bäumlihof;Tagesstruktur;TS Bäumlihof;;;Tagessrukturleitung;Zu den drei Linden;80;4058;Basel;+41 79 274 31 12;;;michele.schwab@bs.ch;Bauprojekt_Schulraum_3971.pdf;2614163.651000/1268534.909000
47.56534477332276, 7.580898798142652;"{""coordinates"": [7.580898798142652, 47.56534477332276], ""type"": ""Point""}";St. Johann;Primarschule;St. Johann;;;Sekretariat;Spitalstrasse;50;4056;Basel;+41 61 385 95 80;+41 61 385 95 85;http://schulen.edubs.ch/ps/stjohann;ps.stjohann@bs.ch;Bauprojekt_Schulraum_642.pdf;2610707.070000/1268302.527000
47.569593893965575, 7.586839209440743;"{""coordinates"": [7.586839209440743, 47.569593893965575], ""type"": ""Point""}";Theobald Baerwart;Sekundarschule;Theobald Baerwart;;;Sekretariat;Offenburgerstrasse;1;4057;Basel;+41 61 208 53 70;;http://www.sek-theobaldbaerwart.ch;sek.theobaldbaerwart@bs.ch;Bauprojekt_Schulraum_645.pdf;2611153.227000/1268775.805000
47.56820825398141, 7.5928845162957295;"{""coordinates"": [7.592884516295729, 47.56820825398141], ""type"": ""Point""}";Bläsi;Primarschule;Bläsi;;;Sekretariat;Müllheimerstrasse;94;4057;Basel;+41 61 666 61 21;+41 61 666 61 23;http://schulen.edubs.ch/ps/blaesi;ps.blaesi@bs.ch;Bauprojekt_Schulraum_648.pdf;2611608.430000/1268622.609000
47.571962566772925, 7.592840529722919;"{""coordinates"": [7.592840529722919, 47.571962566772925], ""type"": ""Point""}";Dreirosen;Primarschule;Horburg;;;Sekretariat;Müllheimerstrasse;180;4057;Basel;+41 61 691 00 13;;http://schulen.edubs.ch/ps/dreirosen;ps.dreirosen@bs.ch;Bauprojekt_Schulraum_647.pdf;2611604.304000/1269040.041000
47.57777147740109, 7.588800178883796;"{""coordinates"": [7.588800178883796, 47.57777147740109], ""type"": ""Point""}";Insel;Primarschule;Insel;;;Sekretariat;Inselstrasse;45;4057;Basel;+41 61 208 53 00;+41 61 208 53 01;http://secure.edubs.ch/schulen/ps/insel;ps.insel@bs.ch;Bauprojekt_Schulraum_654.pdf;2611299.057000/1269685.343000
47.559141676996774, 7.596920345481876;"{""coordinates"": [7.596920345481876, 47.559141676996774], ""type"": ""Point""}";Theodor;Primarschule;Theodor;;;Sekretariat;Theodorskirchplatz;3;4058;Basel;+41 61 208 54 26;;http://schulen.edubs.ch/ps/theodor;ps.theodor@bs.ch;Bauprojekt_Schulraum_641.pdf;2611914.152000/1267615.109000
47.56086868520317, 7.596856226665032;"{""coordinates"": [7.596856226665032, 47.56086868520317], ""type"": ""Point""}";Theodor;Primarschule;Thomas Platter;;;Sekretariat;Claragraben;40;4058;Basel;+41 61 208 56 36;;http://schulen.edubs.ch/ps/theodor;ps.theodor@bs.ch;Bauprojekt_Schulraum_639.pdf;2611908.941000/1267807.123000
47.56346766211806, 7.608828013790848;"{""coordinates"": [7.608828013790848, 47.56346766211806], ""type"": ""Point""}";Vogelsang;Primarschule;Vogelsang;;;Sekretariat;Schwarzwaldallee;107;4058;Basel;+41 61 208 54 60;+41 61 208 54 70;http://schulen.edubs.ch/ps/vogelsang;ps.vogelsang@bs.ch;Bauprojekt_Schulraum_651.pdf;2612809.327000/1268097.976000
47.56743855651904, 7.6265188603439835;"{""coordinates"": [7.626518860343984, 47.56743855651904], ""type"": ""Point""}";Bäumlihof;Gymnasium;Gymnasium Bäumlihof;;;Sekretariat;Zu den drei Linden;80;4058;Basel;+41 61 208 58 00;;;;Bauprojekt_Schulraum_656.pdf;2614139.641000/1268542.519000
47.568447196612226, 7.626627277183642;"{""coordinates"": [7.626627277183642, 47.568447196612226], ""type"": ""Point""}";Drei Linden;Sekundarschule;Sekundarschule Drei Linden;;;Sekretariat;Zu den drei Linden;90;4058;Basel;+41 61 606 33 60;+41 61 606 33 55;http://www.sek-dreilinden.ch;sek.dreilinden@bs.ch;Bauprojekt_Schulraum_655.pdf;2614147.532000/1268654.688000
47.549368360019166, 7.614151258104832;"{""coordinates"": [7.614151258104832, 47.549368360019166], ""type"": ""Point""}";Gellert;Primarschule;Gellert;;;Sekretariat;Emanuel Büchel-Strasse;45;4052;Basel;+41 61 317 95 70;+41 61 317 95 75;http://schulen.edubs.ch/ps/gellert;ps.gellert@bs.ch;Bauprojekt_Schulraum_4082.pdf;2613213.431000/1266531.175000
47.54973804569622, 7.603074343072116;"{""coordinates"": [7.603074343072116, 47.54973804569622], ""type"": ""Point""}";Sevogel;Primarschule;Sevogel;;;Sekretariat;Sevogelstrasse;61;4052;Basel;+41 61 378 70 70;+41 61 378 70 78;http://schulen.edubs.ch/ps/sevogel;ps.sevogel@bs.ch;Bauprojekt_Schulraum_625.pdf;2612379.504000/1266570.482000
47.5541808930986, 7.587221340877652;"{""coordinates"": [7.587221340877652, 47.5541808930986], ""type"": ""Point""}";Leonhard;Gymnasium;Gymnasium Leonhard;;;Sekretariat;Kohlenberg;17;4051;Basel;+41 61 267 55 33;;;gymnasium.leonhard@bs.ch;Bauprojekt_Schulraum_630.pdf;2611185.209000/1267062.107000
47.554439582307744, 7.5866115801586815;"{""coordinates"": [7.586611580158682, 47.554439582307744], ""type"": ""Point""}";Leonhard;Sekundarschule;SEK Leonhard;;;Sekretariat;Leonhardsstrasse;15;4051;Basel;+41 61 267 55 60;+41 61 267 55 62;http://www.sek-leonhard.ch;sek.leonhard@bs.ch;Bauprojekt_Schulraum_631.pdf;2611139.258000/1267090.784000
47.539394229467966, 7.592661751334317;"{""coordinates"": [7.592661751334317, 47.539394229467966], ""type"": ""Point""}";Brunnmatt;Primarschule;Brunnmatt;;;Sekretariat;Ingelsteinweg;6;4053;Basel;+41 61 208 50 20;+41 61 264 80 77;http://schulen.edubs.ch/ps/brunnmatt;ps.brunnmatt@bs.ch;Bauprojekt_Schulraum_620.pdf;2611597.922000/1265418.791000
47.571063091160426, 7.634662751078106;"{""coordinates"": [7.634662751078106, 47.571063091160426], ""type"": ""Point""}";Niederholz;Zentrum für Brückenangebote;ZBA-Niederholz;;;Sekretariat;Niederholzstrasse;95;4125;Riehen;;;;stefan.martin@bs.ch;Bauprojekt_Schulraum_659.pdf;2614751.480000/1268947.020000
47.573203678446184, 7.611447331094895;"{""coordinates"": [7.611447331094895, 47.573203678446184], ""type"": ""Point""}";Hirzbrunnen;Primarschule;Altbau Schoren;;;Sekretariat;Schorenweg;81;4058;Basel;+41 61 681 11 18;+41 61 681 41 60;http://schulen.edubs.ch/ps/schoren;ps.schoren@bs.ch;Bauprojekt_Schulraum_665.pdf;2613004.077000/1269180.942000
47.53858388162906, 7.608518786880746;"{""coordinates"": [7.608518786880746, 47.53858388162906], ""type"": ""Point""}";Dreispitz;Primarschule;Dreispitz;;;Schulleitung;Münchensteinerstrasse;103H;4052;Basel;+41 61 208 53 96;;;;;2612792.017000/1265331.142000
47.57139259305266, 7.6027002080576525;"{""coordinates"": [7.602700208057652, 47.57139259305266], ""type"": ""Point""}";Erlenmatt;Kindergarten;Signalstrasse 29;;;Kindergarten;Signalstrasse;29;4057;Basel;;;;;;2612346.331000/1268978.163000
47.56876066645007, 7.5926043711279725;"{""coordinates"": [7.592604371127972, 47.56876066645007], ""type"": ""Point""}";;Spezialangebot;KIS Bläsi;Markus;Dörig;Leiter KIS-Angebote;Bläsiring;103;4057;Basel;+41 61 683 74 80;+41 61 683 74 81;https://www.edubs.ch/dienste/Dienste_VS/kis/die-kis-angebote;kis.blaesi@edubs.ch;;2611587.229000/1268683.990000
47.528521543322924, 7.597000892931897;"{""coordinates"": [7.597000892931897, 47.528521543322924], ""type"": ""Point""}";;Spezialangebot;KIS Seltis;Markus;Dörig;Leiter KIS-Angebote;Seltisbergerstrasse;93;4059;Basel;+41 61 363 92 78;+41 61 363 92 77;https://www.edubs.ch/dienste/Dienste_VS/kis/die-kis-angebote;kis.seltis@edubs.ch;;2611927.050000/1264210.530000
47.55187731946683, 7.619112320859607;"{""coordinates"": [7.619112320859607, 47.55187731946683], ""type"": ""Point""}";Gellert;Kindergarten;Lehenmattstrasse 145;;;Kindergarten;Lehenmattstrasse;145;4052;Basel;;;;;;2613586.248000/1266810.985000
47.57359687925931, 7.57389836506963;"{""coordinates"": [7.57389836506963, 47.57359687925931], ""type"": ""Point""}";Lysbüchel;Kindergarten;Lysbüchelplatz 1;;;Kindergarten;Lysbüchelplatz;1;4056;Basel;;;;;;2610178.682000/1269219.145000
47.55674260575262, 7.5908393335511;"{""coordinates"": [7.5908393335511, 47.55674260575262], ""type"": ""Point""}";Rittergasse;Kindergarten;Reinacherhof;;;Kindergarten;Münsterplatz;18;4051;Basel;;;;;;2611456.988000/1267347.459000
47.567619791889896, 7.595268402024004;"{""coordinates"": [7.595268402024004, 47.567619791889896], ""type"": ""Point""}";Bläsi;Tagesstruktur;TS Bläsi;;;Tagesstruktur;Hammerstrasse;150;4057;Basel;;;;;;2611787.949000/1268557.532000
47.53177838432301, 7.592451714037633;"{""coordinates"": [7.592451714037633, 47.53177838432301], ""type"": ""Point""}";Bruderholz;Tagesstruktur;TS Bruderholz;;;Tagesstruktur;Bruderholzallee;140;4059;Basel;;;;;;2611583.759000/1264571.972000
47.53506213354562, 7.613385686925934;"{""coordinates"": [7.613385686925934, 47.53506213354562], ""type"": ""Point""}";;Zentrum für Brückenangebote;ZBA-Villa Merian;;;;Unter Brüglingen;1;4142;Münchenstein BL;+41 61 311 72 24;;;;;2613159.327000/1264940.368000
47.5735498991616, 7.573779471225442;"{""coordinates"": [7.573779471225442, 47.5735498991616], ""type"": ""Point""}";Lysbüchel;Tagesstruktur;TS Lysbüchel;;;Tagesstruktur;Lysbüchelplatz;1;4056;Basel;;;;;;2610169.745000/1269213.906000
47.5557299308771, 7.592434143188503;"{""coordinates"": [7.592434143188503, 47.5557299308771], ""type"": ""Point""}";Rittergasse;Tagesstruktur;TS Rittergasse;;;Tagesstruktur;Rittergasse;4;4051;Basel;;;;;;2611577.244000/1267235.094000
47.572083566177966, 7.607809223950764;"{""coordinates"": [7.607809223950764, 47.572083566177966], ""type"": ""Point""}";Schoren;Tagesstruktur;TS Schoren;;;Tagesstruktur;Am Bahndamm;36;4058;Basel;;;;;;2612730.600000/1269055.804000
47.56569404223307, 7.596587793280426;"{""coordinates"": [7.596587793280426, 47.56569404223307], ""type"": ""Point""}";Bläsi;Kindergarten;Sperrstrasse 96;;;Kindergarten;Sperrstrasse;96;4057;Basel;;;;;;2611887.664000/1268343.608000
47.56875442907775, 7.591322518085728;"{""coordinates"": [7.591322518085728, 47.56875442907775], ""type"": ""Point""}";Bläsi;Kindergarten;Bläsiring 85;;;Kindergarten;Bläsiring;85;4057;Basel;+41 61 692 27 81;;;;;2611490.771000/1268683.109000
47.567756546256796, 7.595498619766427;"{""coordinates"": [7.595498619766427, 47.567756546256796], ""type"": ""Point""}";Bläsi;Kindergarten;Oetlingerstrasse 170;;;Kindergarten;Oetlingerstrasse;170;4057;Basel;+41 61 692 04 06;;;;;2611805.243000/1268572.772000
47.53247781660628, 7.596914841416418;"{""coordinates"": [7.596914841416418, 47.53247781660628], ""type"": ""Point""}";Bruderholz;Kindergarten;Fritz Hauser Strasse 20;;;Kindergarten;Fritz Hauser Strasse;20;4059;Basel;+41 61 361 84 42;;;;;2611919.687000/1264650.405000
47.53923688113424, 7.600302317094337;"{""coordinates"": [7.600302317094337, 47.53923688113424], ""type"": ""Point""}";Thierstein;Kindergarten;Arlesheimerstrasse 9;;;Kindergarten;Arlesheimerstrasse;9;4053;Basel;+41 61 331 19 85;;;;;2612173.228000/1265402.447000
47.543657168405026, 7.590887564803006;"{""coordinates"": [7.590887564803006, 47.543657168405026], ""type"": ""Point""}";Margarethen;Kindergarten;Pfeffingerstrasse 50;;;Kindergarten;Pfeffingerstrasse;50;4053;Basel;+41 61 361 25 10;;;;;2611463.426000/1265892.519000
47.569515676852966, 7.591031162337787;"{""coordinates"": [7.591031162337787, 47.569515676852966], ""type"": ""Point""}";Dreirosen;Kindergarten;Amerbachstrasse 7;;;Kindergarten;Amerbachstrasse;7;4057;Basel;+41 61 692 92 18;;;;;2611468.683000/1268767.709000
47.57105649574271, 7.594202571112222;"{""coordinates"": [7.594202571112222, 47.57105649574271], ""type"": ""Point""}";Dreirosen;Kindergarten;Horburgstrasse 51;;;Kindergarten;Horburgstrasse;51;4057;Basel;+41 61 681 32 59;;;;;2611706.990000/1268939.497000
47.57018064271007, 7.59423815942777;"{""coordinates"": [7.59423815942777, 47.57018064271007], ""type"": ""Point""}";Dreirosen;Kindergarten;Markgräflerstrasse 49;;;Kindergarten;Markgräflerstrasse;49;4057;Basel;+41 61 691 39 20;;;;;2611709.860000/1268842.117000
47.553982712289155, 7.61196716341323;"{""coordinates"": [7.61196716341323, 47.553982712289155], ""type"": ""Point""}";Gellert;Kindergarten;Froburgstrasse 50;;;Kindergarten;Froburgstrasse;50;4052;Basel;+41 61 311 02 86;;;;;2613047.890000/1267043.873000
47.54740658859264, 7.613389972997057;"{""coordinates"": [7.613389972997057, 47.54740658859264], ""type"": ""Point""}";Gellert;Kindergarten;Karl Jaspers-Allee 39;;;Kindergarten;Karl Jaspers-Allee;39;4052;Basel;+41 61 312 88 31;;;;;2613156.607000/1266312.922000
47.54590867317389, 7.62004722045713;"{""coordinates"": [7.62004722045713, 47.54590867317389], ""type"": ""Point""}";Gellert;Kindergarten;Lehenmattstrasse 290;;;Kindergarten;Lehenmattstrasse;290;4052;Basel;+41 61 311 95 81;;;;;2613658.149000/1266147.504000
47.556596086117395, 7.569670690103572;"{""coordinates"": [7.569670690103572, 47.556596086117395], ""type"": ""Point""}";Gotthelf;Kindergarten;Allschwilerplatz 9;;;Kindergarten;Allschwilerplatz;9;4054;Basel;+41 61 301 42 39;;;;;2609863.715000/1267328.309000
47.56111511777059, 7.566934626998909;"{""coordinates"": [7.566934626998909, 47.56111511777059], ""type"": ""Point""}";Gotthelf;Kindergarten;Appenzellerstrasse 11;;;Kindergarten;Appenzellerstrasse;11;4054;Basel;+41 61 382 46 52;;;;;2609656.963000/1267830.436000
47.55882557483032, 7.5682069807526515;"{""coordinates"": [7.568206980752652, 47.55882557483032], ""type"": ""Point""}";Gotthelf;Kindergarten;Bündnerstrasse 38;;;Kindergarten;Bündnerstrasse;38;4054;Basel;+41 61 301 14 89;;;;;2609753.139000/1267576.021000
47.554412539568055, 7.566618718901552;"{""coordinates"": [7.566618718901552, 47.554412539568055], ""type"": ""Point""}";Gotthelf;Kindergarten;Gottfried Keller Strasse 8;;;Kindergarten;Gottfried Keller Strasse;8;4054;Basel;+41 61 208 52 40;;;;;2609634.395000/1267085.147000
47.55333301526892, 7.562481574882833;"{""coordinates"": [7.562481574882833, 47.55333301526892], ""type"": ""Point""}";Gotthelf;Kindergarten;Im langen Loh 101;;;Kindergarten;Im langen Loh;101;4054;Basel;+41 61 302 98 59;;;;;2609323.179000/1266964.620000
