geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.523423347365984, 7.594860883550398;"{""coordinates"": [7.594860883550398, 47.523423347365984], ""type"": ""Point""}";1;Amt für Sozialbeiträge - LIV (Leben in Vielfalt);Klosterfiechtenweg;22;4052;Basel;BS;Im Tageszentrum;08:00-17:00 (Mo-Fr)
47.582175161204084, 7.591408839480159;"{""coordinates"": [7.591408839480159, 47.582175161204084], ""type"": ""Point""}";4;Amt für Umwelt und Energie;Hochbergerstrasse;158;4057;Basel;BS;Gang 2. Stock,  an Wand rechts vor WC Herren;08:00-17:00 (Mo-Fr)
47.58395791509585, 7.595962691617901;"{""coordinates"": [7.595962691617901, 47.58395791509585], ""type"": ""Point""}";6;Amt für Umwelt und Energie;Neuhausstrasse;31;4057;Basel;BS;Trakt S Gang 1. Stock, an Wand über Kopierer;08:00-17:00 (Mo-Fr)
47.55488868895512, 7.5917675213944715;"{""coordinates"": [7.591767521394472, 47.55488868895512], ""type"": ""Point""}";7;Appellationsgericht Basel-Stadt;Bäumleingasse;1;4001;Basel;BS;3. Stock, Gang vor Gerichtsaal, neben Kanzlei;07:30 -11:30 & 13:30-17:00 (Mo-Fr)
47.55931378908853, 7.597654201100118;"{""coordinates"": [7.597654201100118, 47.55931378908853], ""type"": ""Point""}";9;Ausgleichskasse Basel-Stadt;Wettsteinplatz;1;4001;Basel;BS;EG, rechts vom Empfangsschalter, hinter Wasserspender, Schalteröffnungszeiten;09:00 - 12:00  & 13:30 - 16:30 (Mo-Fr)
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";11;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Empfang, vor der Einsatzzentrale im EG;24-365
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";13;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Fahrzeughalle 5, EG, Durchgang Vorhalle, links an der Wand;24/365
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";14;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Fz. (Notarztzubringer) im Kofferraum, Fz. in Fahrzeughalle 1, Tor 10;24/365 wenn FZ am Standort
47.5605931407895, 7.590614729496178;"{""coordinates"": [7.590614729496178, 47.5605931407895], ""type"": ""Point""}";15;Berufsfeuerwehr Basel;unterhalb Mittlere Rheinbrücke;;4056;Basel;BS;Steiger Feuerlöschboot BS, unterh. Mittlere Rheinbrücke, Feuerlöschboot BS, im Steuerhaus;Wenn Besatzung vor Ort
47.55506049536497, 7.592103303203524;"{""coordinates"": [7.592103303203524, 47.55506049536497], ""type"": ""Point""}";16;Zivilgericht;Bäumleingasse;3;4001;Basel;BS;1. Stock linker Gang vor Lift;Mo-Fr 0730-1130 & 1330-1700 Uhr
47.536591252649785, 7.6051748774975785;"{""coordinates"": [7.605174877497578, 47.536591252649785], ""type"": ""Point""}";18;BVD Tiefbauamt, Betrieb;Leimgrubenweg;29;4053;Basel;BS;Zentralllager, nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.54353740540241, 7.619419519432038;"{""coordinates"": [7.619419519432038, 47.54353740540241], ""type"": ""Point""}";25;BVD Tiefbauamt, Betrieb;Lehenmattstrasse;361;4052;Basel;BS;Aufenthaltsraum;nur wenn jemand vor Ort, ansonsten geschlossenes Areal
47.57051230791239, 7.614773652454547;"{""coordinates"": [7.614773652454547, 47.57051230791239], ""type"": ""Point""}";27;Eglisee, Gartenbad/Kunsteisbahn Eglisee Sanität;Egliseestrasse;85;4058;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.5461883848506, 7.594942377339695;"{""coordinates"": [7.594942377339695, 47.5461883848506], ""type"": ""Point""}";33;Fachhochschule Nordwestschweiz;Peter Merian-Strasse;86;4052;Basel;BS;Haupteingang, rechte Türe, vor der Haupttreppe links. Verfügbarkeit ausserhalb des Semesters: 0700 - 1800 Uhr;Mo-Fr 0700 -2000
47.56351017756949, 7.558008989392626;"{""coordinates"": [7.558008989392626, 47.56351017756949], ""type"": ""Point""}";36;Gartenbad Bachgraben, Garderobengebäude Damen&Herren;Belforterstrasse;135;4055;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.55238510067604, 7.596358902298966;"{""coordinates"": [7.596358902298966, 47.55238510067604], ""type"": ""Point""}";38;Generalsekretariat, Gesundheitsdepartement;Malzgasse;30;4001;Basel;BS;Im EG, beimEmpfang melden;Mo-Fr 0700-1715 Uhr
47.550122024211035, 7.583346275919098;"{""coordinates"": [7.583346275919098, 47.550122024211035], ""type"": ""Point""}";39;Hallenbad Rialto, Rialtobad Sanitätsraum;Birsigstr.;45;4054;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.55519920922435, 7.586038428985696;"{""coordinates"": [7.586038428985696, 47.55519920922435], ""type"": ""Point""}";45;MAB Musikakademie;Leonhardsstrasse;6;4051;Basel;BS;MAB Musikakademie, Cafeteria;07:30 - 22:00 (Mo-Sa)
47.55238510067604, 7.596358902298966;"{""coordinates"": [7.596358902298966, 47.55238510067604], ""type"": ""Point""}";47;Medizinische Dienste, Gesundheitsdepartement;Malzgasse;30;4001;Basel;BS;Beim Empfang melden;08:00 - 17:00 (Mo-Fr)
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";50;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;Gebäude A, EG, Abteilungssekretariat Militär und Zivilschutz / Rettung;08:30 - 16:00 (Mo-Fr)
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";52;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;ARGOS 529, im Fahrzeug (Dienst-Of Piket Fahrzeug);wenn Fahrzeug vor Ort ist
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";53;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;ARGOS 537, im Fahrzeug (Unterhaltsfahrzeug Ressort Bauten);wenn Fahrzeug vor Ort ist
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";57;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;Gebäude B, Eingang Treppenhaus Polizeigarage an der Wand links;08:30 - 16:00 (Mo-Fr)
47.55465329028481, 7.594961947151959;"{""coordinates"": [7.594961947151959, 47.55465329028481], ""type"": ""Point""}";62;PD, Kultur, Kunstmuseum Basel Neubau;St. Alban Graben;20;4051;Basel;BS;Sanitätsraum EG Neubau;06.00 - 22.00
47.54253765507268, 7.593720317663925;"{""coordinates"": [7.593720317663925, 47.54253765507268], ""type"": ""Point""}";64;Polizeiposten Gundeldingen;Bruderholzstrasse;58;4053;Basel;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;09:00 - 18.30 (Mo-Fr). 09.00 - 17.00 (Sa)
47.5628005827865, 7.597707147198857;"{""coordinates"": [7.597707147198857, 47.5628005827865], ""type"": ""Point""}";66;Polizeiwache Clara;Clarastrasse;38;4058;Basel;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;00 .00 - 24.00 (Mo-So)
47.56152540304134, 7.579522766405671;"{""coordinates"": [7.579522766405671, 47.56152540304134], ""type"": ""Point""}";70;Rettung Basel-Stadt / Sanität;Hebelstrasse;51;4056;Basel;BS;Bei der Sanitätsnotrufzentrale klingeln, 4. Stock rechte Türe im Gang links an der Wand;Mo 08.00 - 12.00 Uhr & 13.30 - 16.00 Uhr
47.56152540304134, 7.579522766405671;"{""coordinates"": [7.579522766405671, 47.56152540304134], ""type"": ""Point""}";73;Rettung Basel-Stadt / Sanität;Hebelstrasse;51;4056;Basel;BS;AMBU 23, im Fahrzeug (Bus für die Materialverwaltung);wenn Fahrzeug vor Ort ist
47.565328612597646, 7.591088018651994;"{""coordinates"": [7.591088018651994, 47.565328612597646], ""type"": ""Point""}";75;Sozialhilfe / Hauptgebäude;Klybeckstrasse;15;4002;Basel;BS;Parterre, neben Empfang;08.30-12.00 & 13.30-16.30 (Mo-Mi), 08.30-12.00 & 13.30-18.00 (Do), 08.30-12.00 (Fr)
47.565328612597646, 7.591088018651994;"{""coordinates"": [7.591088018651994, 47.565328612597646], ""type"": ""Point""}";76;Sozialhilfe / Hauptgebäude;Klybeckstrasse;15;4002;Basel;BS;Parterre, im Sanitätsraum;08.30-12.00 & 13.30-16.30 (Mo-Mi), 08.30-12.00 & 13.30-18.00 (Do), 08.30-12.00 (Fr)
47.55012292688161, 7.583343621487661;"{""coordinates"": [7.583343621487661, 47.55012292688161], ""type"": ""Point""}";78;Sozialversicherungsgericht;Birsigstrasse;45;4002;Basel;BS;3. Stock, Schrank neben Kanzlei;07:30 -11:30 & 13:30-17:00 (Mo-Fr)
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";86;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;1. OG Trakt 2, Loge Büro 122;08:00 - 17:00 (Mo-Fr)
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";89;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;3. OG Trakt 2, Gangmitte rechts;08:00 - 17:00 (Mo-Fr)
47.56283507882737, 7.610714186936476;"{""coordinates"": [7.610714186936476, 47.56283507882737], ""type"": ""Point""}";95;Stützpunkt Autobahnpolizei;Schwarzwaldstrasse;100;4058;Basel;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden.;09:00 - 18.30 (Mo-Fr). 09.00 - 17.00 (Sa)
47.57628646074429, 7.566587560922448;"{""coordinates"": [7.566587560922448, 47.57628646074429], ""type"": ""Point""}";100;Veterinäramt Basel-Stadt, Gesundheitsdepartement;Schlachthofstrasse;55;4056;Basel;BS;Eingang Veterinäramt über Türklingel, im Gang rechts hinter der Glastüre;8:30 - 16:00 Uhr (Mo-Fr)
47.559194292821836, 7.5787247220438285;"{""coordinates"": [7.578724722043829, 47.559194292821836], ""type"": ""Point""}";105;Hotel Bildungszentrum 21;Missionsstrasse;21;4055;Basel;BS;Eingang, linke Seite, im 2. Backoffice hinter Rezeption gelegen im Safe-Schrank;00:00 - 24:00 (Mo-So)
47.58098973616561, 7.639176363953644;"{""coordinates"": [7.639176363953644, 47.58098973616561], ""type"": ""Point""}";112;Gemeindeverwaltung Riehen. Sportanlage Grendelmatte;Grendelgasse;21;4125;Riehen;BS;Beim Eingang zum Platzwart auf der linken Seite;24/365
47.58502388313487, 7.649650390639843;"{""coordinates"": [7.649650390639843, 47.58502388313487], ""type"": ""Point""}";115;Polizeiposten Riehen;Erlensträsschen;2;4125;Riehen;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;09:00 - 18.30 (Mo-Fr). 09.00 - 17.00 (Sa)
47.57894947514435, 7.639563395742435;"{""coordinates"": [7.639563395742435, 47.57894947514435], ""type"": ""Point""}";116;Schulheim Gute Herberge / Hauptbau;Äussere Baselstrasse;180;4125;Riehen;BS;EG, Zimmer E2. Hauswart verlangen (Zimmer mit Schlüssel zugänglich);09.00-18.30 (Mo-Fr)
47.57488999928991, 7.5796700033202145;"{""coordinates"": [7.579670003320214, 47.57488999928991], ""type"": ""Point""}";118;Prevomed Medical Center Novartis Campus;Novartis Campus WSJ;103;4056;Basel;BS;Prevomed Medical Center Novartis Campus;Montag bis Freitag 07.30 bis 16.30
47.56576000133405, 7.6047000049187155;"{""coordinates"": [7.604700004918715, 47.56576000133405], ""type"": ""Point""}";120;Prevomed Medical Center Biopark;Mattenstrasse;22;4056;Basel;BS;AED am Empfangsdesk verlangen;Montag bis Freitag 07.30 bis 16.30
47.57414729537244, 7.579615704746405;"{""coordinates"": [7.579615704746405, 47.57414729537244], ""type"": ""Point""}";128;Novartis Campus Virchow 6;Novartis Campus Banting;;4056;Basel;BS;Alarmtableau Haupteingang;24/365
47.573469999066525, 7.578149998802985;"{""coordinates"": [7.578149998802985, 47.573469999066525], ""type"": ""Point""}";129;Novartis Campus WSJ 210;Novartis Campus Quervain;;4056;Basel;BS;Eingangsbereich rechts;24/365
47.57412999837071, 7.577419993476977;"{""coordinates"": [7.577419993476977, 47.57412999837071], ""type"": ""Point""}";131;Novartis Campus WSJ 503;Hüningerstrasse;;4056;Basel;BS;Eingangsbereich links;24/365
47.579619995054394, 7.576659998961991;"{""coordinates"": [7.576659998961991, 47.579619995054394], ""type"": ""Point""}";133;Novartis Sportplatz Hüningen WSJ 393 Tennishalle;Novartis Campus Sportplatz;;4056;Basel;BS;Eingangsbereich in der Halle;spezielle Öffungszeiten
47.57540999644141, 7.576949996810699;"{""coordinates"": [7.576949996810699, 47.57540999644141], ""type"": ""Point""}";134;Novartis Campus WSJ 360;Kohlenstrasse;;4056;Basel;BS;Eingangsbereich beim Feuerlöscher;24/365
47.5713299947133, 7.5871400024250315;"{""coordinates"": [7.587140002425032, 47.5713299947133], ""type"": ""Point""}";135;Novartis Klybeck Areal WKL 125;Novartis Werk Klybeck;;4057;Basel;BS;Eingang beim Stehtisch;24/365
47.57294000112883, 7.5873499980264185;"{""coordinates"": [7.587349998026419, 47.57294000112883], ""type"": ""Point""}";137;Novartis Klybeck Areal WKL 132;Novartis Werk Klybeck;;4057;Basel;BS;Liftvorplatz;24/365 für Werksangehörige
47.57995199647852, 7.595717105884988;"{""coordinates"": [7.595717105884988, 47.57995199647852], ""type"": ""Point""}";142;SanPool Schule für Gesundheit;Hochbergerstrasse;70;4057;Basel;BS;Gang bei den Toiletten, öffentlich nicht zugänglich;Mo bis Fr von 08.30 - 12.00 und während Kursbetrieb
47.575850002152194, 7.5982599963050355;"{""coordinates"": [7.598259996305035, 47.575850002152194], ""type"": ""Point""}";143;ISS Hochbergerstrasse;Hochbergerstrasse;15;4057;Basel;BS;EG beim Lift;Zu Bürozeiten
47.565310899736566, 7.579553306030529;"{""coordinates"": [7.579553306030529, 47.565310899736566], ""type"": ""Point""}";152;Departement Chemie;St. Johanns-Ring;19;4056;Basel;BS;1. OG, im Treppenhaus, bei Materialausgabe;7:15 - 18:00 (Mo - Fr)
47.56612559557841, 7.603280493571736;"{""coordinates"": [7.603280493571736, 47.56612559557841], ""type"": ""Point""}";155;Departement Chemie, Rosental Areal, Gebäude 1096;Mattenstrasse;24a;4058;Basel;BS;Im Treppenhaus 4.OG. Rosental Areal ist ein geschlossenes Areal, kein direkter Zutritt möglich;Mo-Fr 0645-1800
47.56020830046179, 7.592164801112581;"{""coordinates"": [7.592164801112581, 47.56020830046179], ""type"": ""Point""}";162;Deptartement Gesellschaftswissenschaften;Rheingasse;21;4058;Basel;BS;Erdgeschoss direkt neben Eingangstüre, links;08:00 - 18:00 (Mo-Fr)
47.56473109871259, 7.578690406285449;"{""coordinates"": [7.578690406285449, 47.56473109871259], ""type"": ""Point""}";163;Departement Physik, Universität Basel;Klingelbergstrasse;82;4056;Basel;BS;1 Stock, Sekretariat 1.08 im Gang;08:00 - 17:00 (Mo-Fr)
47.5569903973668, 7.5907870946230505;"{""coordinates"": [7.59078709462305, 47.5569903973668], ""type"": ""Point""}";165;Ethnologisches Seminar, Gesellschaftswissenschaften Universität Basel;Münsterplatz;19;4051;Basel;BS;Parterre, beim Haupteingang links - zwischen Haupteingang und Glastüre (Einlass über Klingel);Mo-Fr 0800-1800
47.5617756998686, 7.5757329062030125;"{""coordinates"": [7.575732906203013, 47.5617756998686], ""type"": ""Point""}";167;Fakultät für Psychologie;Missionssatrasse;64a;4055;Basel;BS;Erdgeschoss, direkt nach dem Eingang links;Mo-Fr 0900-1700
47.53300570019921, 7.611001803036205;"{""coordinates"": [7.611001803036205, 47.53300570019921], ""type"": ""Point""}";170;FHNW Campus der Künste;Freilager-Platz;1;4023;Basel;BS;Gerät befindet sich im 4. OG beim Lift. Schlüsselhülse neben Eingang.;Zu Betriebszeiten
47.56003239616227, 7.582013105534234;"{""coordinates"": [7.582013105534234, 47.56003239616227], ""type"": ""Point""}";182;Politikwissenschaft Department Gesellschaftswissenschaft;Bernoullistrasse;14-16;4056;Basel;BS;Erdgeschoss, Foyer / Eingangsbereich Uni Mensa (rechts in einer Einbuchtung, unmittelbar nach Eingang / Türe zur Menas);08:00 - 17:00 (Mo-Fr)
47.54656014931781, 7.588718860798818;"{""coordinates"": [7.588718860798818, 47.54656014931781], ""type"": ""Point""}";183;SBB Immobilien, Basel, SBB;Güterstrasse;115;4053;Basel;BS;Passerelle Südseite neben Eingang Dosenbach;24/365
47.54681362012724, 7.588949524520886;"{""coordinates"": [7.588949524520886, 47.54681362012724], ""type"": ""Point""}";185;SBB Immobilien, Basel, SBB;Güterstrasse;115;4053;Basel;BS;Passerelle 1. OG Mitte, Ostseite bei Abgang zu Geleise 11/12;24/365
47.54768987071977, 7.589515474544209;"{""coordinates"": [7.589515474544209, 47.54768987071977], ""type"": ""Point""}";186;SBB Immobilien, Basel, SBB;Güterstrasse;115;4053;Basel;BS;Schalterhalle EG (Haupthalle), Nordausgang Westseite;24/365
47.56724479174329, 7.583231354990258;"{""coordinates"": [7.583231354990258, 47.56724479174329], ""type"": ""Point""}";188;Schifffahrts-Terminal St. Johann;St. Johanns-Rheinweg;109;4056;Basel;BS;Das Gerät befindet sich im Innern des Terminals im Untergeschoss.;Bei Schifffahrtsbetrieb, wenn das Terminal offen ist.
47.58232810099301, 7.590849704980767;"{""coordinates"": [7.590849704980767, 47.58232810099301], ""type"": ""Point""}";189;Schweizerische Rheinhäfen;Hochbergerstrasse;160;4019;Basel;BS;Das Gerät befindet sich nach der Treppe Haupteingang auf der rechten Seite in einer Nische;Mo-Fr 0800 1200 & 1330-1700
47.55458809406694, 7.584097803801679;"{""coordinates"": [7.584097803801679, 47.55458809406694], ""type"": ""Point""}";190;Seminar für Medienwissenschaft;Holbeinstrasse;12;4051;Basel;BS;EG, rechts neben Eingang Seminarraum EG (Bluebox), über Feuerlöscher;Mo-Fr 0800-1600
47.561239002180926, 7.578090199851256;"{""coordinates"": [7.578090199851256, 47.561239002180926], ""type"": ""Point""}";197;Universität Basel;Maiengasse;51;4056;Basel;BS;EG, rechts, beim Durchgang zum Schliessfachraum;07:30 - 19:00 (Mo-Fr)
47.56016080153778, 7.587155504802395;"{""coordinates"": [7.587155504802395, 47.56016080153778], ""type"": ""Point""}";199;Universität Basel, Dep. Mathematik und Informatik;Spiegelgasse;1;4051;Basel;BS;3. Stock, neben der Tür zum Treppenhaus auf der Seite Spiegelgasse;Mo - Fr 0700 - 1900
47.5589619991434, 7.589224893524493;"{""coordinates"": [7.589224893524493, 47.5589619991434], ""type"": ""Point""}";202;Universität Basel, Seminar für Kulturwissenschaft und Europäische Ethnologie;Rheinsprung;9;4051;Basel;BS;Nach Gebäudeeingang / Glastür rechts;07:45-21:00 (Mo-Fr)
47.54528899501577, 7.596592198773847;"{""coordinates"": [7.596592198773847, 47.54528899501577], ""type"": ""Point""}";204;WWZ Universität Basel;Peter Merian-Weg;6;4002;Basel;BS;EG Eingangshalle, montiert am Inofpanel;08:00 - 20:00 (Mo-Fr) & 08:00 - 18:00 (Sa)
47.54528899501577, 7.596592198773847;"{""coordinates"": [7.596592198773847, 47.54528899501577], ""type"": ""Point""}";205;WWZ Universität Basel;Peter Merian-Weg;6;4002;Basel;BS;3.OG, Pausenzone, vom Lift aus links;08:00 - 20:00 (Mo-Fr)
47.561422395805266, 7.592208100316822;"{""coordinates"": [7.592208100316822, 47.561422395805266], ""type"": ""Point""}";206;Zahnarztpraxis Jörgensen;Greifengasse;17;4058;Basel;BS;3. Stock. Behandlungsraum 1;08:00- 18:00 (Mo-Do) & 08:00- 16:00 (Fr)
47.56165731735992, 7.564552286067824;"{""coordinates"": [7.564552286067824, 47.56165731735992], ""type"": ""Point""}";210;Selecta / Procamed AG;Wasgenring;57;4055;Basel;BS;Neben Denner am Selecta Automat;24/365
47.593762229231324, 7.6035904859402335;"{""coordinates"": [7.603590485940233, 47.593762229231324], ""type"": ""Point""}";211;Marche Bistro, Autobahnzoll A2, Weil am Rhein;Autobahnzoll A2 Basel-Weil am Rhein;;79576;Weil am Rhein;BS;Beim Haupteingang an der Wand;Mo-So 06:00 - 22:00 Uhr
47.57449569977554, 7.604821594155591;"{""coordinates"": [7.604821594155591, 47.57449569977554], ""type"": ""Point""}";212;Parkrestaurant Lange Erlen;Erlenparkweg;55;4058;Basel;BS;Am linken Ende des Restaurant an der Wand;24/365
47.55202845190689, 7.595199794171294;"{""coordinates"": [7.595199794171294, 47.55202845190689], ""type"": ""Point""}";446;Bau- und Verkehrsdepartement Basel Dufourstrasse 50;Dufourstrasse;50;4001;Basel;BS;Im EG an der Wand bei den Lift;Mo-Fr 0800-1700 Uhr
47.55550076619651, 7.591651644578121;"{""coordinates"": [7.591651644578121, 47.55550076619651], ""type"": ""Point""}";448;Bau- und Verkehrsdepartement Basel Münsterplatz;Münsterplatz;11;4001;Basel;BS;Beim Eingang im Innenhof links innen an der Wand;Mo-Fr 0800-1700 Uhr
47.55425519528268, 7.608605401174914;"{""coordinates"": [7.608605401174914, 47.55425519528268], ""type"": ""Point""}";458;Don Bosco Musik- und Kulturzentrum;Eptingerstrasse;27;4052;Basel;BS;Hinter der Bühne;Zu Öffnungszeiten
47.5539335744109, 7.607960170672666;"{""coordinates"": [7.607960170672666, 47.5539335744109], ""type"": ""Point""}";459;Weidengasse 53;Weidengasse;53;4052;Basel;BS;Beim Hauseingang an der Wand;24/365
47.551225296796176, 7.561706796149189;"{""coordinates"": [7.561706796149189, 47.551225296796176], ""type"": ""Point""}";462;Victoria-Apotheke;Gottharstrasse;124;4054;Basel;BS;An der Aussenwand rechts neben der Apotheke;24/365
47.57393215466643, 7.574694919788743;"{""coordinates"": [7.574694919788743, 47.57393215466643], ""type"": ""Point""}";469;Kultur und Gewerbehaus;Elsässerstrasse;209;4056;Basel;BS;Bei Haupteingang links an der Wand;0700-2300 Uhr
47.544957907655764, 7.594131682300754;"{""coordinates"": [7.594131682300754, 47.544957907655764], ""type"": ""Point""}";499;Amt für Wirtschaft und Arbeit Hochstrasse;Hochstrasse;37;4053;Basel;BS;EG, an der Wand bei Empfangstheke;Mo-Fr 0800-1200, 1300-1700
47.56904273100492, 7.6147780894528205;"{""coordinates"": [7.614778089452821, 47.56904273100492], ""type"": ""Point""}";2;Amt für Sozialbeiträge - LIV (Leben in Vielfalt);Riehenstrasse;300;4058;Basel;BS;Im Tageszentrum;08:00-17:00 (Mo-Fr)
47.582175161204084, 7.591408839480159;"{""coordinates"": [7.591408839480159, 47.582175161204084], ""type"": ""Point""}";5;Amt für Umwelt und Energie;Hochbergerstrasse;158;4057;Basel;BS;das Auto ist meistens unterwegs - eine Zeit kann nicht angegeben werden;Bei Einsatz des FZ
47.54792351906847, 7.594099986850342;"{""coordinates"": [7.594099986850342, 47.54792351906847], ""type"": ""Point""}";10;BCP Business Consulting Partner AG;Gartenstrasse;95;4052;Basel;BS;2. Stock im Gang;08:00 - 12:00 & 13:30 - 17:00 (Mo-Fr)
47.536591252649785, 7.6051748774975785;"{""coordinates"": [7.605174877497578, 47.536591252649785], ""type"": ""Point""}";17;BVD Tiefbauamt, Betrieb;Leimgrubenweg;29;4053;Basel;BS;Schlosserei-Aufenthaltsraum, nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.55696579558014, 7.614675499516345;"{""coordinates"": [7.614675499516345, 47.55696579558014], ""type"": ""Point""}";21;BVD Tiefbauamt, Betrieb;St.Alban-Rheinweg;240;4052;Basel;BS;1. OG Aufenthaltsraum nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.58396691767562, 7.5959560717269845;"{""coordinates"": [7.595956071726985, 47.58396691767562], ""type"": ""Point""}";22;BVD Tiefbauamt, Betrieb;Neuhausstrasse;31;4057;Basel;BS;Mietobjekt im IWB Areal, keine Verfügbarkeit für dritte;06:45 - 16:00, Areal sonst geschlossen
47.57064153500554, 7.616727600137258;"{""coordinates"": [7.616727600137258, 47.57064153500554], ""type"": ""Point""}";23;BVD Tiefbauamt, Betrieb;Fasanenstrasse;235;4058;Basel;BS;Aufenthaltsraum Büro, nur währende der Arbeitzeit;06:45 - 16:00, Areal sonst geschlossen
47.57095308988027, 7.615899395351325;"{""coordinates"": [7.615899395351325, 47.57095308988027], ""type"": ""Point""}";26;Eglisee, Gartenbad/Kunsteisbahn (Fraueli) Sanität;Fasanenstrasse;182;4058;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.54933005321802, 7.576388666352252;"{""coordinates"": [7.576388666352252, 47.54933005321802], ""type"": ""Point""}";30;Eskamed AG;Rotbergerstrasse;34;4054;Basel;BS;2. Stock rechts um die Ecke nach dem Eingang;08:00 - 17:00 (Mo-Fr)
47.533180440061145, 7.606047317246072;"{""coordinates"": [7.606047317246072, 47.533180440061145], ""type"": ""Point""}";35;Gantbeamtung;Lyon-Strasse;41;4053;Basel;BS;Beim Empfang melden;Mo-Fr 0800-0900
47.55951896592588, 7.586694796274124;"{""coordinates"": [7.586694796274124, 47.55951896592588], ""type"": ""Point""}";41;Justiz- und Sicherheitsdepartement, Spiegelhof;Spiegelgasse;12;4051;Basel;BS;Im 3. OG Treppenhaus.;07.00 - 18.00 (Mo-Fr)
47.55118217526797, 7.593267292602675;"{""coordinates"": [7.593267292602675, 47.55118217526797], ""type"": ""Point""}";42;Kellerhals Carrard Basel KlG;Hirschgässlein;11;4010;Basel;BS;4. Stock, am Empfang fragen;08.00 - 12.00 & 13.15 - 17.00 (Mo-Fr)
47.55587140490681, 7.585750666244104;"{""coordinates"": [7.585750666244104, 47.55587140490681], ""type"": ""Point""}";43;MAB Musikakademie;Leonhardsgraben;40;4051;Basel;BS;MAB Musikakademie, Haus 5;07:30 - 22:00 (Mo-Sa)
47.539301851709524, 7.604283471433034;"{""coordinates"": [7.604283471433034, 47.539301851709524], ""type"": ""Point""}";48;Migros MPARK;Münchensteinerstrasse;200;4053;Basel;BS;Kundendienst 1.OG;09.00-20.00 (Mo-Fr)
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";51;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;ARGOS 528, im Fahrzeug (Dienst-Of Piket Fahrzeug);wenn Fahrzeug vor Ort ist
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";54;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;ARGOS 537, im Fahrzeug (Unterhaltsfahrzeug Ressort Bauten);wenn Fahrzeug vor Ort ist
47.54387952839471, 7.6186131088511395;"{""coordinates"": [7.61861310885114, 47.54387952839471], ""type"": ""Point""}";56;Rettung Basel-Stadt / Militär und Zivilschutz;Gellertstrasse;228;4052;Basel;BS;Einfahrt linke Seite Eingang zum Turm;08:30 - 16:00 (Mo-Fr)
