politische_gemeinde;bfs_nr_gemeinde;bezirk_name;bezirk_nr;ortschaft;einwohner_total;einwohner_maenner;einwohner_frauen;einwohner_0_19;einwohner_20_39;einwohner_40_64;einwohner_65plus;einwohner_schweizer;einwohner_auslaender_total;einwohner_auslaender_deutsche;einwohner_evang;einwohner_kath;einwohner_uebrige
Mammern;4826;Frauenfeld;2012;Hörhausen;x;x;x;x;x;x;x;x;x;x;x;x;x
Märstetten;4941;Weinfelden;2015;Ottoberg;581;299;282;127;114;261;79;541;40;27;258;123;200
Märstetten;4941;Weinfelden;2015;Märstetten;2310;1171;1139;466;661;799;384;1891;419;165;889;555;866
Matzingen;4591;Frauenfeld;2012;Matzingen;2944;1528;1416;628;850;1022;444;x;x;x;795;932;1217
Matzingen;4591;Frauenfeld;2012;Frauenfeld;83;43;40;21;19;23;20;x;x;x;36;15;32
Müllheim;4831;Frauenfeld;2012;Müllheim Dorf;3173;1608;1565;648;782;1197;546;2562;611;184;1127;758;1288
Münchwilen;4746;Münchwilen;2014;Münchwilen;4690;2314;2376;1032;1209;1586;863;3611;1079;175;1084;1755;1851
Münchwilen;4746;Münchwilen;2014;St. Margarethen;1044;531;513;267;225;434;118;x;x;x;281;411;352
Münchwilen;4746;Münchwilen;2014;Eschlikon;92;48;44;25;24;33;10;x;x;x;36;27;29
Münsterlingen;4691;Kreuzlingen;2013;Scherzingen;1895;945;950;372;435;750;338;1140;755;434;512;512;871
Münsterlingen;4691;Kreuzlingen;2013;Landschlacht;1459;703;756;x;291;571;x;999;460;285;475;459;525
Münsterlingen;4691;Kreuzlingen;2013;Münsterlingen;144;80;64;x;72;47;x;47;97;42;34;57;53
Neunforn;4601;Frauenfeld;2012;Wilen b. Neunforn;50;27;23;15;11;11;13;x;x;x;x;x;x
Neunforn;4601;Frauenfeld;2012;Oberneunforn;603;299;304;121;142;217;123;560;43;15;347;76;180
Neunforn;4601;Frauenfeld;2012;Niederneunforn;413;227;186;62;106;158;87;x;x;x;x;x;x
Pfyn;4841;Frauenfeld;2012;Homburg;x;x;x;x;x;x;x;x;x;x;x;x;x
Pfyn;4841;Frauenfeld;2012;Pfyn;1715;865;850;361;441;624;289;1430;285;80;634;428;653
Pfyn;4841;Frauenfeld;2012;Dettighofen;491;248;243;97;127;188;79;414;77;16;163;101;227
Raperswilen;4846;Kreuzlingen;2013;Raperswilen;418;211;207;84;92;156;86;370;48;26;216;78;124
Rickenbach;4751;Münchwilen;2014;Rickenbach b. Will;2898;1459;1439;556;884;954;504;1797;1101;118;397;1050;1451
Rickenbach;4751;Münchwilen;2014;Schwarzenbach;x;x;x;x;x;x;x;x;x;x;x;x;x
Rickenbach;4751;Münchwilen;2014;Wilen b. Will;x;x;x;x;x;x;x;x;x;x;x;x;x
Roggwil;4431;Arbon;2011;Stachen;x;x;x;x;x;x;x;x;x;x;x;x;x
Roggwil;4431;Arbon;2011;Freidorf;1384;703;681;336;332;522;194;1221;163;84;448;511;425
Roggwil;4431;Arbon;2011;Lömmenschwil;x;x;x;x;x;x;x;x;x;x;x;x;x
Roggwil;4431;Arbon;2011;Neukirch (Egnach);42;23;19;11;x;18;x;x;x;x;15;6;21
Roggwil;4431;Arbon;2011;Roggwil;1723;869;854;384;430;602;307;1559;164;51;621;540;562
Roggwil;4431;Arbon;2011;Frasnacht;152;76;76;26;x;70;x;x;x;x;55;47;50
Romanshorn;4436;Arbon;2011;Romanshorn;11446;5658;5788;2153;3036;3829;2428;7769;3677;832;2581;3209;5656
Salenstein;4851;Kreuzlingen;2013;Salenstein;517;252;265;91;89;229;108;379;138;121;200;117;200
Salenstein;4851;Kreuzlingen;2013;Fruthwilen;643;320;323;91;140;278;134;447;196;152;212;170;261
Salenstein;4851;Kreuzlingen;2013;Mannenbach-Salenstein;262;137;125;31;40;113;78;197;65;47;104;54;104
Salmsach;4441;Arbon;2011;Egnach;x;x;x;x;x;x;x;x;x;x;x;x;x
Salmsach;4441;Arbon;2011;Amriswil;x;x;x;x;x;x;x;x;x;x;x;x;x
Salmsach;4441;Arbon;2011;Salmsach;1491;767;724;314;404;524;249;1057;434;74;394;442;655
Schlatt;4546;Frauenfeld;2012;Schlatt;1818;906;912;368;418;697;335;1573;245;106;889;288;641
Schönholzerswilen;4756;Weinfelden;2015;Schönholzerswilen;849;442;407;215;219;300;115;776;73;37;387;274;188
Sirnach;4761;Münchwilen;2014;Busswil;873;439;434;192;170;378;133;789;84;15;191;411;271
Sirnach;4761;Münchwilen;2014;Sirnach;6355;3197;3158;1254;1828;2137;1136;4591;1764;218;1213;2368;2774
Sirnach;4761;Münchwilen;2014;Wiezikon b. Sirnach;614;312;302;116;132;239;127;575;39;17;177;224;213
Sirnach;4761;Münchwilen;2014;Littenheid;81;40;41;6;24;43;8;44;37;15;9;22;50
Sommeri;4446;Arbon;2011;Sommeri;630;320;310;132;184;199;115;529;101;44;175;256;199
Steckborn;4864;Frauenfeld;2012;Steckborn;3915;1979;1936;678;810;1457;970;2853;1062;472;1202;1083;1630
Stettfurt;4606;Frauenfeld;2012;Matzingen;x;x;x;x;x;x;x;x;x;x;x;x;x
Stettfurt;4606;Frauenfeld;2012;Stettfurt;1236;613;623;306;251;466;213;1137;99;41;558;302;376
Sulgen;4506;Weinfelden;2015;Kradolf;x;x;x;x;x;x;x;x;x;x;x;x;x
Sulgen;4506;Weinfelden;2015;Donzhausen;316;166;150;83;66;118;49;287;29;8;151;87;78
Sulgen;4506;Weinfelden;2015;Götighofen;172;84;88;35;25;70;42;152;20;17;87;40;45
Sulgen;4506;Weinfelden;2015;Sulgen;3526;1787;1739;691;1032;1172;631;2454;1072;183;997;958;1571
Tägerwilen;4696;Kreuzlingen;2013;Tägerwilen;4987;2497;2490;1064;1201;1905;817;3116;1871;1245;1580;1328;2079
Tägerwilen;4696;Kreuzlingen;2013;Kreuzlingen;67;33;34;16;19;23;9;38;29;17;13;27;27
Thundorf;4611;Frauenfeld;2012;Lustdorf;196;100;96;40;56;65;35;179;17;8;129;28;39
Thundorf;4611;Frauenfeld;2012;Frauenfeld;51;24;27;21;x;16;x;x;x;x;x;x;x
Thundorf;4611;Frauenfeld;2012;Wetzikon;117;60;57;29;x;41;x;x;x;x;x;x;x
Thundorf;4611;Frauenfeld;2012;Thundorf;1184;615;569;273;266;424;221;1090;94;36;585;268;331
Tobel-Tägerschen;4776;Münchwilen;2014;Tägerschen;659;326;333;158;154;272;75;552;107;25;188;267;204
Tobel-Tägerschen;4776;Münchwilen;2014;Tobel;911;463;448;178;254;298;181;753;158;33;257;338;316
Uesslingen-Buch;4616;Frauenfeld;2012;Buch b. Frauenfeld;344;167;177;76;81;131;56;322;22;9;160;97;87
Uesslingen-Buch;4616;Frauenfeld;2012;Uesslingen;761;387;374;130;175;298;158;678;83;30;357;170;234
Uttwil;4451;Arbon;2011;Romanshorn;x;x;x;x;x;x;x;x;x;x;x;x;x
Uttwil;4451;Arbon;2011;Uttwil;1933;951;982;369;396;763;405;1575;358;180;658;544;731
Wagenhausen;4871;Frauenfeld;2012;Kaltenbach;721;354;367;157;151;291;122;580;141;69;294;135;292
Wagenhausen;4871;Frauenfeld;2012;Etzwilen;235;119;116;34;61;101;39;171;64;x;79;46;110
Wagenhausen;4871;Frauenfeld;2012;Rheinklingen;141;74;67;38;24;49;30;133;8;x;89;9;43
Wagenhausen;4871;Frauenfeld;2012;Wagenhausen;674;327;347;117;147;267;143;498;176;74;246;108;320
Wäldi;4701;Kreuzlingen;2013;Engwilen;223;115;108;44;47;91;41;168;55;33;76;54;93
Wäldi;4701;Kreuzlingen;2013;Gunterswilen;84;41;43;23;9;38;14;68;16;12;34;12;38
Wäldi;4701;Kreuzlingen;2013;Hattenhausen;69;35;34;18;9;28;14;x;x;x;51;10;8
Wäldi;4701;Kreuzlingen;2013;Sonterswil;121;60;61;26;38;34;23;99;22;16;58;23;40
Wäldi;4701;Kreuzlingen;2013;Hefenhausen;96;49;47;13;21;40;22;x;x;x;45;15;36
Wäldi;4701;Kreuzlingen;2013;Lipperswil;141;78;63;17;35;60;29;113;28;8;48;37;56
Wäldi;4701;Kreuzlingen;2013;Raperswilen;x;x;x;x;x;x;x;x;x;x;x;x;x
Wäldi;4701;Kreuzlingen;2013;Wäldi;337;175;162;81;68;134;54;274;63;42;126;78;133
Wängi;4781;Münchwilen;2014;Wängi;4220;2141;2079;935;1017;1525;743;3521;699;136;1299;1571;1350
Wängi;4781;Münchwilen;2014;Tuttwil;553;298;255;124;148;194;87;507;46;20;239;166;148
Warth-Weiningen;4621;Frauenfeld;2012;Weiningen;682;342;340;146;170;236;130;607;75;34;301;134;247
Warth-Weiningen;4621;Frauenfeld;2012;Warth;690;346;344;142;134;264;150;618;72;19;249;228;213
Weinfelden;4946;Weinfelden;2015;Weinfelden;11643;5893;5750;2249;3363;3684;2347;8922;2721;517;3913;3126;4604
Weinfelden;4946;Weinfelden;2015;Bürglen;x;x;x;x;x;x;x;x;x;x;x;x;x
Wigoltingen;4951;Weinfelden;2015;Engwilen;x;x;x;x;x;x;x;x;x;x;x;x;x
Wigoltingen;4951;Weinfelden;2015;Illhart;228;118;110;28;40;102;58;180;48;35;95;45;88
Wigoltingen;4951;Weinfelden;2015;Lamperswil;58;28;30;x;17;17;x;48;10;x;29;9;20
Wigoltingen;4951;Weinfelden;2015;Wigoltingen;1562;776;786;370;363;574;255;1281;281;85;627;419;516
Wigoltingen;4951;Weinfelden;2015;Märstetten;47;23;24;x;14;22;x;x;x;x;30;7;10
Wigoltingen;4951;Weinfelden;2015;Müllheim-Wigoltingen;130;75;55;21;30;60;19;93;37;6;34;52;44
Wigoltingen;4951;Weinfelden;2015;Wagerswil;149;72;77;25;36;63;25;133;16;x;60;36;53
Wigoltingen;4951;Weinfelden;2015;Bonau;307;163;144;74;67;122;44;261;46;15;131;57;119
Wigoltingen;4951;Weinfelden;2015;Engwang;130;69;61;30;30;50;20;x;x;x;59;18;53
Wilen;4786;Münchwilen;2014;Wilen b. Wil;2483;1259;1224;616;549;922;396;2136;347;90;540;1203;740
Wuppenau;4791;Weinfelden;2015;Hosenruck;471;238;233;98;107;188;78;437;34;13;125;220;126
Wuppenau;4791;Weinfelden;2015;Wuppenau;706;354;352;203;137;244;122;644;62;22;166;358;182
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Bischofszell;150;84;66;26;x;55;x;x;x;x;60;45;45
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Muolen;25;10;15;8;x;11;x;x;x;x;10;7;8
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Sitterdorf;913;453;460;183;246;304;180;758;155;53;275;300;338
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Zihlschlacht;1385;737;648;329;376;485;195;1226;159;78;589;347;449
