geo_point_2d;geo_shape;id_zst;name;gemeinde;klasse;kombiniert;art;arme;fahrstreif;zweck;typ;strtyp;eigentum;betriebnah;betriebzus;link;format
47.56551301197895, 7.587496004090561;"{""coordinates"": [7.587496004090561, 47.56551301197895], ""type"": ""Point""}";803;Johanniterbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.547446238235786, 7.566737913515548;"{""coordinates"": [7.566737913515548, 47.547446238235786], ""type"": ""Point""}";810;Neubadstrasse 124/137;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.54998432875307, 7.6054789319460445;"{""coordinates"": [7.605478931946045, 47.54998432875307], ""type"": ""Point""}";813;Hardstrasse 66/77;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.56447993879127, 7.595647704200301;"{""coordinates"": [7.595647704200301, 47.56447993879127], ""type"": ""Point""}";904;Hammerstrasse 90;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-10-01T00:00:00+00:00;in Betrieb;;xlsx
47.54858140979756, 7.614987701186778;"{""coordinates"": [7.614987701186778, 47.54858140979756], ""type"": ""Point""}";100277;A2 Gellert Nord;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;7.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);BUND;2008-09-04T00:00:00+00:00;in Betrieb;https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html;xlsx
47.54467221257655, 7.616129903173843;"{""coordinates"": [7.616129903173843, 47.54467221257655], ""type"": ""Point""}";100278;A2 Gellert Sued;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;3.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);BUND;2008-09-04T00:00:00+00:00;in Betrieb;https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html;xlsx
47.57377241077489, 7.593511907607263;"{""coordinates"": [7.593511907607263, 47.57377241077489], ""type"": ""Point""}";200803;Mauerstrasse (Horburgpark);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Plattenzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;1998-09-04T00:00:00+00:00;ausser Betrieb;;xlsx
47.57619311411249, 7.572764604659711;"{""coordinates"": [7.572764604659711, 47.57619311411249], ""type"": ""Point""}";200951;Elsaesserstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2006-06-13T00:00:00+00:00;ausser Betrieb;;pdf
47.56166700688986, 7.580651601073996;"{""coordinates"": [7.580651601073996, 47.56166700688986], ""type"": ""Point""}";201001;Klingelbergstrasse 27;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Plattenzaehlung;Hauptverkehrsstrasse (HVS);Andere;2010-09-15T00:00:00+00:00;ausser Betrieb;;xlsx
47.56511177249809, 7.557333327744584;"{""coordinates"": [7.557333327744584, 47.56511177249809], ""type"": ""Point""}";201108;Hegenheimerstrasse Grenze;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo+Fuss;Radar;Hauptsammelstrasse (HSS);Andere;2011-04-06T00:00:00+00:00;ausser Betrieb;;xlsx
47.562969012445976, 7.556571007957327;"{""coordinates"": [7.556571007957327, 47.562969012445976], ""type"": ""Point""}";201622;Hegenheimermattweg 202 (Allschwil);Allschwil;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptsammelstrasse (HSS);Kanton Basel-Land;2016-05-28T00:00:00+00:00;ausser Betrieb;;xlsx
47.565514308580596, 7.562692207142446;"{""coordinates"": [7.562692207142446, 47.565514308580596], ""type"": ""Point""}";201155;Michelbacherstrasse - Markircherstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-11-08T00:00:00+00:00;ausser Betrieb;;pdf
47.566309209751545, 7.561217308361282;"{""coordinates"": [7.561217308361282, 47.566309209751545], ""type"": ""Point""}";201156;Michelbacherstrasse - Oltingerstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-11-03T00:00:00+00:00;ausser Betrieb;;pdf
47.56424301418301, 7.597363009446575;"{""coordinates"": [7.597363009446575, 47.56424301418301], ""type"": ""Point""}";201304;Brantgasse 8;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-06-25T00:00:00+00:00;ausser Betrieb;;pdf
47.56890800873531, 7.589385009779795;"{""coordinates"": [7.589385009779795, 47.56890800873531], ""type"": ""Point""}";201307;Flachsländerstr. 6;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-06-27T00:00:00+00:00;ausser Betrieb;;pdf
47.563326011911336, 7.625948003805205;"{""coordinates"": [7.625948003805205, 47.563326011911336], ""type"": ""Point""}";201310;Im Rheinacker 20;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-05-23T00:00:00+00:00;ausser Betrieb;;xlsx
47.553805108383074, 7.588050879523904;"{""coordinates"": [7.588050879523904, 47.553805108383074], ""type"": ""Point""}";201705;Kohlenberggasse 5;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-05-15T00:00:00+00:00;ausser Betrieb;;pdf
47.56358101304925, 7.578020001040918;"{""coordinates"": [7.578020001040918, 47.56358101304925], ""type"": ""Point""}";201315;Rheinländerstrasse 12;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-04-11T00:00:00+00:00;ausser Betrieb;;pdf
47.568012009471445, 7.61713400578065;"{""coordinates"": [7.61713400578065, 47.568012009471445], ""type"": ""Point""}";201318;Tüllingerstrasse 44;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-06-18T00:00:00+00:00;ausser Betrieb;;pdf
47.58704300949788, 7.6597490029978434;"{""coordinates"": [7.659749002997843, 47.58704300949788], ""type"": ""Point""}";201515;Inzlingerstrasse 176/178  (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-14T00:00:00+00:00;ausser Betrieb;;xlsx
47.58167000846395, 7.650706010145498;"{""coordinates"": [7.650706010145498, 47.58167000846395], ""type"": ""Point""}";201519;Eisenbahnweg 59  (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-09-14T00:00:00+00:00;ausser Betrieb;;xlsx
47.57026601105977, 7.636547001225895;"{""coordinates"": [7.636547001225895, 47.57026601105977], ""type"": ""Point""}";201521;Bluttrainweg 20 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-09-14T00:00:00+00:00;ausser Betrieb;;xlsx
47.57957500687543, 7.644828008798365;"{""coordinates"": [7.644828008798365, 47.57957500687543], ""type"": ""Point""}";201525;Burgstrasse 57 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-09-15T00:00:00+00:00;ausser Betrieb;;xlsx
47.58161401294062, 7.648638011641175;"{""coordinates"": [7.648638011641175, 47.58161401294062], ""type"": ""Point""}";201528;Bettingerstrasse 12 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-15T00:00:00+00:00;ausser Betrieb;;xlsx
47.580216011239415, 7.649473005056849;"{""coordinates"": [7.649473005056849, 47.580216011239415], ""type"": ""Point""}";201529;Bettingerstrasse 63 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-17T00:00:00+00:00;ausser Betrieb;;xlsx
47.579402009452835, 7.648439010174772;"{""coordinates"": [7.648439010174772, 47.579402009452835], ""type"": ""Point""}";201530;Grenzacherweg 15  (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-09-23T00:00:00+00:00;ausser Betrieb;;xlsx
47.54486400712688, 7.587279006567029;"{""coordinates"": [7.587279006567029, 47.54486400712688], ""type"": ""Point""}";201534;Gempenstrasse 16;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-05-19T00:00:00+00:00;ausser Betrieb;;pdf
47.548148006910964, 7.564495003753589;"{""coordinates"": [7.564495003753589, 47.548148006910964], ""type"": ""Point""}";201538;Oberalpstrasse 12;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-05-20T00:00:00+00:00;ausser Betrieb;;pdf
47.540582014918364, 7.58661500137112;"{""coordinates"": [7.58661500137112, 47.540582014918364], ""type"": ""Point""}";201547;Unterer Batterieweg 27;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-01-24T00:00:00+00:00;ausser Betrieb;;xlsx
47.567501014730155, 7.567679012488777;"{""coordinates"": [7.567679012488777, 47.567501014730155], ""type"": ""Point""}";201604;Dammerkirchstrasse 24;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-02-25T00:00:00+00:00;ausser Betrieb;;pdf
47.567088009277505, 7.61606600227512;"{""coordinates"": [7.61606600227512, 47.567088009277505], ""type"": ""Point""}";201606;Hirzbrunnenschanze 29;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-03-01T00:00:00+00:00;ausser Betrieb;;pdf
47.56556200984961, 7.573430001269137;"{""coordinates"": [7.573430001269137, 47.56556200984961], ""type"": ""Point""}";201607;Kannenfeldplatz;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;4.0;2.0;MIV+Velo+Fuss;Induktionsschlaufen LSA;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2016-04-21T00:00:00+00:00;ausser Betrieb;;pdf
47.56861201455017, 7.596374009081031;"{""coordinates"": [7.596374009081031, 47.56861201455017], ""type"": ""Point""}";201613;Efringerstrasse 25;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-04-23T00:00:00+00:00;ausser Betrieb;;xlsx
47.56507201261919, 7.559810011582958;"{""coordinates"": [7.559810011582958, 47.56507201261919], ""type"": ""Point""}";201615;Hegenheimerstrasse 254;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2016-05-28T00:00:00+00:00;ausser Betrieb;;xlsx
47.532092511381734, 7.611615306982977;"{""coordinates"": [7.611615306982977, 47.532092511381734], ""type"": ""Point""}";301003;Muenchenstein Emil Frey-Strasse;M;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Andere;Kanton Basel-Land;2000-01-01T00:00:00+00:00;in Betrieb;https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen;xlsx
47.55748639919924, 7.614900718093256;"{""coordinates"": [7.614900718093256, 47.55748639919924], ""type"": ""Point""}";917;Schwarzwaldbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2016-10-01T00:00:00+00:00;in Betrieb;;xlsx
47.5608291416336, 7.600566815036836;"{""coordinates"": [7.600566815036836, 47.5608291416336], ""type"": ""Point""}";201701;Turnerstrasse 29;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-01-12T00:00:00+00:00;ausser Betrieb;;pdf
47.54672936704185, 7.5666036400639705;"{""coordinates"": [7.56660364006397, 47.54672936704185], ""type"": ""Point""}";201703;Im Holeeletten 22;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo+Fuss;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-01-24T00:00:00+00:00;ausser Betrieb;;pdf
47.565770326658935, 7.58853109589313;"{""coordinates"": [7.58853109589313, 47.565770326658935], ""type"": ""Point""}";952;Johanniterbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2018-08-01T00:00:00+00:00;In Betrieb;;xls
47.55624171167618, 7.57084555802603;"{""coordinates"": [7.57084555802603, 47.55624171167618], ""type"": ""Point""}";201119;Buchenstrasse 24;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-01-20T00:00:00+00:00;ausser Betrieb;;pdf
47.567812665395216, 7.594305741542909;"{""coordinates"": [7.594305741542909, 47.567812665395216], ""type"": ""Point""}";201729;Oetlingerstrasse 157;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-06-08T00:00:00+00:00;ausser Betrieb;;pdf
47.56773338249363, 7.591316528554583;"{""coordinates"": [7.591316528554583, 47.56773338249363], ""type"": ""Point""}";201629;Oetlingerstrasse 71;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-11-22T00:00:00+00:00;ausser Betrieb;;pdf
47.54936905486239, 7.6086516804946065;"{""coordinates"": [7.608651680494606, 47.54936905486239], ""type"": ""Point""}";201324;Sonnenweg 12;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-11-05T00:00:00+00:00;ausser Betrieb;;pdf
47.55493762383756, 7.564332318180192;"{""coordinates"": [7.564332318180192, 47.55493762383756], ""type"": ""Point""}";201817;Rigistrasse 17;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2018-06-07T00:00:00+00:00;ausser Betrieb;;pdf
47.5484878202026, 7.574852941153255;"{""coordinates"": [7.574852941153255, 47.5484878202026], ""type"": ""Point""}";201732;Schalerstrasse 15;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-06-15T00:00:00+00:00;ausser Betrieb;;pdf
47.55653239000386, 7.579948889223889;"{""coordinates"": [7.579948889223889, 47.55653239000386], ""type"": ""Point""}";201506;Spalentorweg 19;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-04-21T00:00:00+00:00;ausser Betrieb;;pdf
47.55205033671669, 7.559652278218887;"{""coordinates"": [7.559652278218887, 47.55205033671669], ""type"": ""Point""}";201640;Wanderstrasse von Weiherhofstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo+Fuss;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-05-26T00:00:00+00:00;ausser Betrieb;;pdf
47.55148741287256, 7.579957308405623;"{""coordinates"": [7.579957308405623, 47.55148741287256], ""type"": ""Point""}";144;Leimenstrasse 80;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;2.0;MIV;Induktionsschlaufen LSA;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2019-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.55121609149304, 7.5791519526912925;"{""coordinates"": [7.579151952691292, 47.55121609149304], ""type"": ""Point""}";1441;Arnold Boecklin-Str. 1;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;2.0;MIV;Induktionsschlaufen LSA;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2019-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.55712781295487, 7.575260405941493;"{""coordinates"": [7.575260405941493, 47.55712781295487], ""type"": ""Point""}";202001;Spalenring/Birmannsgasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;2.0;MIV;Induktionsschlaufen LSA;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2020-11-12T00:00:00+00:00;ausser Betrieb;;pdf
47.56459827425021, 7.573193940822872;"{""coordinates"": [7.573193940822872, 47.56459827425021], ""type"": ""Point""}";202002;Kannenfeldstrasse 62;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2020-11-19T00:00:00+00:00;ausser Betrieb;;
47.55963904464483, 7.574595392769661;"{""coordinates"": [7.574595392769661, 47.55963904464483], ""type"": ""Point""}";202005;Spalenring 63;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2020-11-19T00:00:00+00:00;ausser Betrieb;;pdf
47.55137786741991, 7.5760686287496535;"{""coordinates"": [7.576068628749653, 47.55137786741991], ""type"": ""Point""}";201753;Arnold Boecklin-Strasse (Kreisel);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;2.0;MIV;Radar;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2017-02-11T00:00:00+00:00;ausser Betrieb;;
47.57133330873176, 7.598098507932572;"{""coordinates"": [7.598098507932572, 47.57133330873176], ""type"": ""Point""}";240;A3 Horburgtunnel;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;6.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;2000-08-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.5726443304425, 7.602460144489571;"{""coordinates"": [7.602460144489571, 47.5726443304425], ""type"": ""Point""}";245;A2 Schwarzwaldtunnel;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;6.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;2006-01-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.56561376684784, 7.588052664411427;"{""coordinates"": [7.588052664411427, 47.56561376684784], ""type"": ""Point""}";352;Johanniterbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2004-07-01T00:00:00+00:00;in Betrieb;;xlsx
47.558201418773805, 7.597534724929922;"{""coordinates"": [7.597534724929922, 47.558201418773805], ""type"": ""Point""}";354;Wettsteinbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.56991258933513, 7.572840151654895;"{""coordinates"": [7.572840151654895, 47.56991258933513], ""type"": ""Point""}";401;Luzernerring-Brücke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.574798203920245, 7.562359755144734;"{""coordinates"": [7.562359755144734, 47.574798203920245], ""type"": ""Point""}";660;Flughafenstrasse, Grenze CH-F;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-10-01T00:00:00+00:00;in Betrieb;;xlsx
47.58892601154544, 7.593116208601806;"{""coordinates"": [7.593116208601806, 47.58892601154544], ""type"": ""Point""}";670;Zoll CH-D, Hiltalingerstrasse;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Deutschland;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
